record_id,record_type,field,search_attempted,sources_checked,result
ta-archive-yiftach4-garden57,comparable,balcony_area_sqm,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,NOT_FOUND
ta-archive-yiftach4-garden57,comparable,entry_floor,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,NOT_PUBLICLY_AVAILABLE
ta-archive-yiftach4-garden57,comparable,upper_floor,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,NOT_PUBLICLY_AVAILABLE
ta-archive-yiftach4-garden57,comparable,number_of_levels,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,NOT_PUBLICLY_AVAILABLE
ta-archive-yiftach4-garden57,comparable,parking_count,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,NOT_FOUND
ta-archive-yiftach4-garden57,comparable,orientation_count,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,NOT_FOUND
ta-archive-yiftach4-garden57,comparable,orientation_directions,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,NOT_FOUND
ta-v2-anglo-3418,comparable,garden_area_sqm,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.anglo-saxon.co.il/properties/single/?id=3418,NOT_FOUND
ta-v2-anglo-3418,comparable,entry_floor,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.anglo-saxon.co.il/properties/single/?id=3418,NOT_FOUND
ta-v2-anglo-3418,comparable,number_of_levels,"Targeted exact record/project search including direct page, floor-plan/brochure/spec terms where applicable",https://www.anglo-saxon.co.il/properties/single/?id=3418,NOT_FOUND
