record_id,record_type,field,value,source_url,source_title,source_type,retrieved_at,verification_status,notes
ta-archive-yiftach4-garden57,comparable,internal_area_sqm,57,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad archive — Yiftach 4,major_property_archive,2026-09-12,VERIFIED,
ta-archive-yiftach4-garden57,comparable,garden_area_sqm,52,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad archive — Yiftach 4,major_property_archive,2026-09-12,VERIFIED,
ta-archive-yiftach4-garden57,comparable,total_outdoor_area_sqm,52,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad archive — Yiftach 4,major_property_archive,2026-09-12,VERIFIED,
ta-archive-yiftach4-garden57,comparable,parking_present,True,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad archive — Yiftach 4,major_property_archive,2026-09-12,VERIFIED,
ta-archive-yiftach4-garden57,comparable,storage_present,True,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad archive — Yiftach 4,major_property_archive,2026-09-12,VERIFIED,
ta-archive-yiftach4-garden57,comparable,storage_area_sqm,7,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad archive — Yiftach 4,major_property_archive,2026-09-12,VERIFIED,
ta-archive-yiftach4-garden57,comparable,mamad,True,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad archive — Yiftach 4,major_property_archive,2026-09-12,VERIFIED,
ta-archive-yiftach4-garden57,comparable,price_ils,2860000,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad archive — Yiftach 4,major_property_archive,2026-09-12,VERIFIED,
ta-v2-anglo-3418,comparable,internal_area_sqm,150,https://www.anglo-saxon.co.il/properties/single/?id=3418,Anglo-Saxon — duplex 5R Yad Eliyahu,direct_or_archive_listing,2026-09-12,VERIFIED,
ta-v2-anglo-3418,comparable,terrace_area_sqm,70,https://www.anglo-saxon.co.il/properties/single/?id=3418,Anglo-Saxon — duplex 5R Yad Eliyahu,direct_or_archive_listing,2026-09-12,VERIFIED,
