city,project_id,project_name,audit_type,search_query,outcome,source_url,newly_added,notes
תל אביב-יפו,ta-tidhar-between,TIDHAR בין השדרות,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,TIDHAR בין השדרות מחיר דירות 3 5 חדרים,PRICE_MODEL_ALREADY_STRONG,https://www.yad2.co.il/yad1/project/16499,false,
תל אביב-יפו,ta-galipolis,GALIPOLIS,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,GALIPOLIS מחיר דירות גן דופלקס,PRICE_MODEL_ALREADY_STRONG,https://almog-ltd.com/project/galipoliz/,false,
תל אביב-יפו,ta-rayk-east-side,RAYK EAST SIDE,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,RAYK EAST SIDE מחיר דירת גן דופלקס,STARTING_PRICE_ONLY_PLUS_PRODUCT_TYPES,https://www.yad2.co.il/yad1/project/16277,false,
תל אביב-יפו,ta-yagur,יגור / קן התור,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,יגור קן התור יד אליהו מחירון,PROJECT_NOT_CURRENTLY_FOR_SALE,https://www.yad2.co.il/yad1/project/11535,false,
תל אביב-יפו,ta-family-groove,FAMILY GROOVE TLV — נגבה 21-27,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,FAMILY GROOVE נגבה דירת גן מחיר,PRICE_MODEL_FOUND,https://www.yad2.co.il/yad1/project/18174,false,
תל אביב-יפו,ta-negba26,נגבה 26,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,נגבה 26 בן שלום מחיר דירה,PROJECT_NOT_CURRENTLY_FOR_SALE,https://www.ben-shalom.co.il/project/negba-26/,false,
תל אביב-יפו,ta-almog-complex,Almog The Complex,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,Almog The Complex מחיר,PROJECT_NOT_CURRENTLY_FOR_SALE,https://almog-ltd.com/project/%D7%AA%D7%90-almog-the-complex/,false,
תל אביב-יפו,ta-laguardia-35-45,לה גווארדיה 35-45,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,לה גווארדיה 35 45 מנרב מחיר דירות,MODEL_WITHOUT_PRICE,https://www.ynet.co.il/economy/article/sk5n8melze,false,
תל אביב-יפו,ta-ybox-gallipoli19,YBOX גליפולי 19,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,YBOX גליפולי 19 מחיר,PROJECT_NOT_CURRENTLY_FOR_SALE,https://ybox.co.il/project/%D7%92%D7%9C%D7%99%D7%A4%D7%95%D7%9C%D7%99/,false,
תל אביב-יפו,ta-ybox-east-side,YBOX East Side TLV,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,YBOX East Side TLV מחיר דירות,NOT_FOUND_AFTER_TARGETED_SEARCH,https://ybox.co.il/project/east-side-tlv-2/,false,
נתניה,net-bereshit-family,בראשית פמלי — קריית השרון,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,בראשית פמלי 3 חדרים דירת גן מחיר,STARTING_PRICE_ONLY,https://www.yad2.co.il/yad1/project/13271,false,
נתניה,net-gindi-tzamarot,גינדי צמרות נתניה,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,גינדי צמרות נתניה מחיר,PROJECT_NOT_CURRENTLY_FOR_SALE,https://gindi.com/project/gindi-tzamarot-netanya/,false,
נתניה,net-mashknot-hapark,משכנות הפארק — משהב,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,משכנות הפארק משהב נתניה מחיר,MODEL_WITHOUT_PRICE,https://www.nadlancenter.co.il/article/15032,false,
נתניה,net-gindi-newnorth,הצפון החדש בקריית השרון — גינדי,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,הצפון החדש קריית השרון גינדי מחיר,NO_CURRENT_MARKETING_FOUND,https://www.nadlancenter.co.il/article/15084,false,
נתניה,net-ashdar-country,אשדר וקאנטרי,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,אשדר וקאנטרי נתניה מחיר,PROJECT_NOT_CURRENTLY_FOR_SALE,https://www.ashtromconstruction.co.il/projects/ashdar-and-country-building,false,
נתניה,net-gabay-park,גבאי על הפארק,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,גבאי על הפארק נתניה מחיר,STARTING_PRICE_ONLY,https://www.diraly.co.il/projects/%D7%92%D7%91%D7%90%D7%99-%D7%A2%D7%9C-%D7%94%D7%A4%D7%90%D7%A8%D7%A7,false,
נתניה,net-david,DAVID נתניה,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,DAVID נתניה מחיר 3 5 חדרים,STARTING_PRICE_ONLY,https://www.boh.co.il/projects/44,false,
נתניה,net-the-strip,THE STRIP נתניה,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,THE STRIP נתניה פנטהאוז מחיר,STARTING_PRICE_ONLY,https://www.yad2.co.il/yad1/project/19096,false,
נתניה,net-aqua-sense,AQUA SENSE,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,AQUA SENSE נתניה 5 חדרים מחיר,STARTING_PRICE_ONLY,https://www.nadlan.com/project/aqua-sense,false,
אשקלון,ash-halomot-barnea,חלומות ברנע הירוקה,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,חלומות ברנע הירוקה מחיר 5 חדרים,STARTING_PRICE_ONLY,https://www.ad.co.il/project/halomot-barnea,false,
אשקלון,ash-demri-barnea,דמרי ברנע — historical phases,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,דמרי ברנע אשקלון מחיר,PROJECT_NOT_CURRENTLY_FOR_SALE,https://www.megureit.co.il/projects,false,
אשקלון,ash-ramot,רמות אשקלון,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,רמות אשקלון פרויקט מחיר,NOT_FOUND_AFTER_TARGETED_SEARCH,,false,
אשקלון,ash-ayal-peretz-ramot,אייל פרץ ברמות,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,אייל פרץ ברמות אשקלון מחיר,STARTING_PRICE_ONLY,https://www.yad2.co.il/yad1/project/17111,false,
אשקלון,ash-peretz-wine,פרץ בוני הנגב בעיר היין,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,פרץ בוני הנגב עיר היין מחירון דירה,PRICE_MODEL_FOUND_HISTORICAL,https://www.peretzbh.co.il/price-list/,false,
